YEAR,STATE_CODE,race,MEM_,OSS_,pct_
1973,MO,BL,134155,5730,4
1973,MO,HI,2805,100,4
1973,MO,HP,0,0,
1973,MO,MR,0,0,
1973,MO,WH,190320,6505,3
1973,MO,total,328885,12365,4
1973,MS,AI,215,0,
1973,MS,AS,285,5,2
1973,MS,BL,254085,8905,4
1973,MS,HI,455,15,3
1973,MS,HP,0,0,
1973,MS,MR,0,0,
1973,MS,WH,247515,5155,2
1973,MS,total,502555,14080,3
1973,MT,AI,3155,50,2
1973,MT,AS,75,0,
1973,MT,BL,50,0,
1973,MT,HI,320,0,
1973,MT,HP,0,0,
1973,MT,MR,0,0,
1973,MT,WH,11890,25,0
1973,MT,total,15490,75,0
1973,NC,AI,14475,300,2
1973,NC,AS,1535,10,1
1973,NC,BL,341725,22315,7
1973,NC,HI,1120,20,2
1973,NC,HP,0,0,
1973,NC,MR,0,0,
1973,NC,WH,679075,17450,3
1973,NC,total,1037930,40095,4
1973,ND,AI,1075,30,3
1973,ND,AS,5,0,
1973,ND,BL,0,0,
1973,ND,HI,0,0,
1973,ND,HP,0,0,
1973,ND,MR,0,0,
1973,ND,WH,1560,30,2
1973,ND,total,2640,60,2
1973,NE,AI,480,5,1
1973,NE,AS,225,0,
1973,NE,BL,11965,0,
1973,NE,HI,1880,25,1
1973,NE,HP,0,0,
1973,NE,MR,0,0,
1973,NE,WH,50840,35,0
1973,NE,total,65390,65,0
1973,NJ,AI,345,5,1
1973,NJ,AS,3210,20,1
1973,NJ,BL,214405,15835,7
1973,NJ,HI,70320,2390,3
1973,NJ,HP,0,0,
1973,NJ,MR,0,0,
1973,NJ,WH,277200,14480,5
1973,NJ,total,565485,32735,6
1973,NM,AI,22785,435,2
1973,NM,AS,650,0,
1973,NM,BL,5690,245,4
1973,NM,HI,102410,2870,3
1973,NM,HP,0,0,
1973,NM,MR,0,0,
1973,NM,WH,124735,2545,2
1973,NM,total,256270,6090,2
1973,NV,AI,2125,50,2
1973,NV,AS,1000,0,
1973,NV,BL,11640,885,8
1973,NV,HI,4405,70,2
1973,NV,HP,0,0,
1973,NV,MR,0,0,
1973,NV,WH,101065,1685,2
1973,NV,total,120235,2690,2
1973,NY,AI,3450,115,3
1973,NY,AS,23980,25,0
1973,NY,BL,528690,10815,2
1973,NY,HI,319915,1785,1
1973,NY,HP,0,0,
1973,NY,MR,0,0,
1973,NY,WH,717425,10890,2
1973,NY,total,1593460,23630,1
1973,OH,AI,965,35,4
1973,OH,AS,1995,20,1
1973,OH,BL,266600,19910,7
1973,OH,HI,12000,680,6
1973,OH,HP,0,0,
1973,OH,MR,0,0,
1973,OH,WH,487570,17315,4
1973,OH,total,769130,37960,5
1973,OK,AI,23495,360,2
1973,OK,AS,1010,30,3
1973,OK,BL,46515,4325,9
1973,OK,HI,4265,90,2
1973,OK,HP,0,0,
1973,OK,MR,0,0,
1973,OK,WH,233710,5090,2
1973,OK,total,308995,9900,3
1973,OR,AI,675,20,3
1973,OR,AS,1250,15,1
1973,OR,BL,7615,545,7
1973,OR,HI,2065,60,3
1973,OR,HP,0,0,
1973,OR,MR,0,0,
1973,OR,WH,65890,1815,3
1973,OR,total,77490,2455,3
1973,PA,AI,310,0,
1973,PA,AS,1455,10,1
1973,PA,BL,247900,12015,5
1973,PA,HI,17480,245,1
1973,PA,HP,0,0,
1973,PA,MR,0,0,
1973,PA,WH,355025,13130,4
1973,PA,total,622175,25400,4
1973,RI,AI,40,0,
1973,RI,AS,220,5,2
1973,RI,BL,5485,605,11
1973,RI,HI,715,50,7
1973,RI,HP,0,0,
1973,RI,MR,0,0,
1973,RI,WH,21100,1010,5
1973,RI,total,27565,1670,6
1973,SC,AI,505,35,7
1973,SC,AS,680,5,1
1973,SC,BL,261675,21865,8
1973,SC,HI,600,25,4
1973,SC,HP,0,0,
1973,SC,MR,0,0,
1973,SC,WH,369295,17285,5
1973,SC,total,632755,39215,6
1973,SD,AI,4845,55,1
1973,SD,AS,85,0,
1973,SD,BL,245,0,
1973,SD,HI,195,5,3
1973,SD,HP,0,0,
1973,SD,MR,0,0,
1973,SD,WH,19320,185,1
1973,SD,total,24685,245,1
1973,TN,AI,220,385,175
1973,TN,AS,710,5,1
1973,TN,BL,181760,10900,6
1973,TN,HI,500,10,2
1973,TN,HP,0,0,
1973,TN,MR,0,0,
1973,TN,WH,369040,8865,2
1973,TN,total,552230,20165,4
1973,TX,AI,3035,35,1
1973,TX,AS,4950,55,1
1973,TX,BL,416555,24355,6
1973,TX,HI,580540,12360,2
1973,TX,HP,0,0,
1973,TX,MR,0,0,
1973,TX,WH,1293490,26770,2
1973,TX,total,2298565,63580,3
1973,UT,AI,2515,70,3
1973,UT,AS,690,0,
1973,UT,BL,1090,75,7
1973,UT,HI,6875,315,5
1973,UT,HP,0,0,
1973,UT,MR,0,0,
1973,UT,WH,83700,1485,2
1973,UT,total,94870,1955,2
1973,VA,AI,970,30,3
1973,VA,AS,3290,100,3
1973,VA,BL,250960,20185,8
1973,VA,HI,2635,100,4
1973,VA,HP,0,0,
1973,VA,MR,0,0,
1973,VA,WH,482700,18945,4
1973,VA,total,740555,39365,5
1973,WA,AI,4025,155,4
1973,WA,AS,6525,30,0
1973,WA,BL,17140,795,5
1973,WA,HI,9985,135,1
1973,WA,HP,0,0,
1973,WA,MR,0,0,
1973,WA,WH,135325,2340,2
1973,WA,total,173000,3460,2
1973,WI,AI,2600,155,6
1973,WI,AS,505,10,2
1973,WI,BL,43840,5975,14
1973,WI,HI,6255,590,9
1973,WI,HP,0,0,
1973,WI,MR,0,0,
1973,WI,WH,128360,5755,4
1973,WI,total,181560,12490,7
1973,WV,AI,70,0,
1973,WV,AS,275,0,
1973,WV,BL,13805,760,6
1973,WV,HI,165,0,
1973,WV,HP,0,0,
1973,WV,MR,0,0,
1973,WV,WH,152375,3495,2
1973,WV,total,166685,4260,3
1973,WY,AI,525,0,
1973,WY,AS,190,0,
1973,WY,BL,635,30,5
1973,WY,HI,2530,90,4
1973,WY,HP,0,0,
1973,WY,MR,0,0,
1973,WY,WH,22035,495,2
1973,WY,total,25915,610,2
1974,AK,AI,13555,290,2
1974,AK,AS,610,10,2
1974,AK,BL,2240,160,7
1974,AK,HI,640,20,3
1974,AK,HP,0,0,
1974,AK,MR,0,0,
1974,AK,WH,60170,2085,3
1974,AK,total,77220,2565,3
1974,AL,AI,615,10,2
1974,AL,AS,485,5,1
1974,AL,BL,256100,10655,4
1974,AL,HI,390,5,1
1974,AL,HP,0,0,
1974,AL,MR,0,0,
1974,AL,WH,500125,9955,2
1974,AL,total,757715,20630,3
1974,AR,AI,825,5,1
1974,AR,AS,270,0,
1974,AR,BL,102215,7210,7
1974,AR,HI,590,10,2
1974,AR,HP,0,0,
1974,AR,MR,0,0,
1974,AR,WH,183450,4070,2
1974,AR,total,287350,11300,4
1974,AZ,AI,13905,255,2
1974,AZ,AS,1750,15,1
1974,AZ,BL,14750,435,3
1974,AZ,HI,54590,730,1
1974,AZ,HP,0,0,
1974,AZ,MR,0,0,
1974,AZ,WH,193540,2440,1
1974,AZ,total,278535,3875,1
1974,CA,AI,16605,590,4
1974,CA,AS,120965,1540,1
